"","row","words_1970","n_1970","NA","words_1975","n_1975","NA","words_1980","n_1980","NA","words_1985","n_1985","NA","words_1990","n_1990","NA","words_1995","n_1995","NA","words_2000","n_2000","NA","words_2005","n_2005","NA","words_2010","n_2010","NA","words_2015","n_2015","NA"
"67",67,"gasoline",45,0.00223358316374646,"hq",49,0.0016049787094661,"school",100,0.00159864434959155,"san",104,0.00154559505409583,"official",101,0.00154017414642329,"convoy",127,0.00200546370426516,"convoy",250,0.00211633045230214,"incident",552,0.00211040636792182,"discovered",1201,0.00201052638627552,"station",442,0.00254391417455165
"68",68,"consulate",44,0.00218394798232988,"airport",48,0.00157222404192597,"director",99,0.00158265790609563,"central",101,0.00150101058138152,"u.s",100,0.0015249248974488,"device",127,0.00200546370426516,"indiscriminate",249,0.00210786513049294,"attacked",541,0.00206835116856106,"house",1156,0.0019351944234259,"convoy",411,0.00236549485461703
"69",69,"patrol",44,0.00218394798232988,"owned",48,0.00157222404192597,"branch",98,0.00156667146259972,"protest",100,0.00148614909047676,"chapel",97,0.00147917715052534,"province",122,0.00192650844031772,"party",248,0.00209939980868373,"city",540,0.00206452796861917,"taliban",1139,0.00190673568190493,"targeted",401,0.00230794023528328
"70",70,"recruiting",44,0.00218394798232988,"headquarters",47,0.00153946937438585,"ministry",98,0.00156667146259972,"leader",99,0.00147128759957199,"camp",96,0.00146392790155085,"sri",122,0.00192650844031772,"sources",248,0.00209939980868373,"algeria",532,0.00203394236908408,"army",1137,0.00190338759466717,"posited",396,0.00227916292561641
"71",71,"war",44,0.00218394798232988,"communist",46,0.00150671470684573,"railway",96,0.00153469857560788,"la",98,0.00145642610866722,"rifle",95,0.00144867865257636,"policeman",121,0.00191071738752823,"casualties",242,0.00204860787782848,"office",532,0.00203394236908408,"leader",1092,0.00182805563181754,"assault",392,0.00225614107788291
"72",72,"william",44,0.00218394798232988,"company",45,0.0014739600393056,"railroad",95,0.00151871213211197,"plant",97,0.00144156461776245,"bldg",94,0.00143342940360187,"rocket",121,0.00191071738752823,"city",242,0.00204860787782848,"patrol",513,0.00196130157018822,"remote",1085,0.00181633732648538,"bombs",387,0.00222736376821604
"73",73,"firebombed",43,0.00213431280091329,"municipal",45,0.0014739600393056,"force",94,0.00150272568861605,"barracks",95,0.00141184163595292,"battalion",93,0.00141818015462738,"national",119,0.00187913528194925,"explosives",240,0.00203167723421006,"neighborhood",508,0.00194218557047878,"office",1077,0.00180294497753433,"india",385,0.00221585284434929
"74",74,"los",43,0.00213431280091329,"william",45,0.0014739600393056,"govt",94,0.00150272568861605,"base",95,0.00141184163595292,"house",93,0.00141818015462738,"ireland",118,0.00186334422915976,"attacks",239,0.00202321191240085,"bomber",495,0.00189248397123424,"noted",1051,0.00175941984344344,"landmine",383,0.00220434192048254
"75",75,"thrown",43,0.00213431280091329,"assoc",43,0.00140845070422535,"catholic",93,0.00148673924512014,"policeman",95,0.00141184163595292,"deputy",92,0.0014029309056529,"camp",117,0.00184755317637027,"front",238,0.00201474659059164,"bus",495,0.00189248397123424,"suicide",1046,0.00175104962534904,"rocket",375,0.00215829822501554
"76",76,"air",42,0.0020846776194967,"firm",43,0.00140845070422535,"mayor",93,0.00148673924512014,"pipeline",94,0.00139698014504815,"pole",90,0.00137243240770392,"pipeline",117,0.00184755317637027,"campaign",237,0.00200628126878243,"algerian",494,0.00188866077129236,"market",1018,0.00170417640402038,"crude",345,0.0019856343670143
"77",77,"bombs",42,0.0020846776194967,"french",43,0.00140845070422535,"residence",93,0.00148673924512014,"sap",94,0.00139698014504815,"president",90,0.00137243240770392,"railway",117,0.00184755317637027,"israel",237,0.00200628126878243,"convoy",493,0.00188483757135047,"stated",1013,0.00169580618592598,"region",341,0.0019626125192808
"78",78,"cocktail",42,0.0020846776194967,"personnel",43,0.00140845070422535,"house",91,0.00145476635812831,"house",89,0.00132267269052431,"al",89,0.00135718315872943,"bombs",116,0.00183176212358078,"philippines",236,0.00199781594697322,"home",473,0.00180837357251272,"fired",975,0.00163219252840852,"grenade",339,0.00195110159541405
"79",79,"officer",42,0.0020846776194967,"power",43,0.00140845070422535,"protestant",90,0.00143877991463239,"fire",88,0.00130781119961955,"chief",89,0.00135718315872943,"liberation",116,0.00183176212358078,"patrol",230,0.00194702401611797,"damaging",467,0.0017854343728614,"india",973,0.00162884444117076,"taliban",339,0.00195110159541405
"80",80,"vehicle",42,0.0020846776194967,"james",42,0.00137569603668523,"defense",89,0.00142279347113648,"bridge",86,0.00127808821781001,"covenas",89,0.00135718315872943,"line",115,0.00181597107079129,"unidentified",226,0.00191316272888114,"officer",467,0.0017854343728614,"carried",957,0.00160205974326867,"soldier",317,0.0018244814328798
"81",81,"booby",41,0.00203504243808011,"minister",42,0.00137569603668523,"gun",88,0.00140680702764056,"united",86,0.00127808821781001,"grenades",89,0.00135718315872943,"house",114,0.0018001800180018,"explosion",224,0.00189623208526272,"military",466,0.00178161117291951,"sunni",953,0.00159536356879315,"egypt",316,0.00181872597094643
"82",82,"series",41,0.00203504243808011,"university",42,0.00137569603668523,"gasoline",87,0.00139082058414465,"firearms",84,0.00124836523600048,"ministry",89,0.00135718315872943,"power",113,0.00178438896521231,"united",216,0.00182850951078905,"causing",463,0.00177014157309385,"residence",946,0.00158364526346098,"targeting",313,0.0018014595851463
"83",83,"manhattan",40,0.00198540725666352,"ambassador",41,0.0013429413691451,"u.s",86,0.00137483414064873,"national",84,0.00124836523600048,"san",89,0.00135718315872943,"president",113,0.00178438896521231,"homemade",211,0.00178618290174301,"chief",462,0.00176631837315196,"suspected",937,0.00156857887089106,"planted",312,0.00179570412321293
"84",84,"related",40,0.00198540725666352,"factory",41,0.0013429413691451,"air",85,0.00135884769715281,"headquarters",81,0.00120378076328617,"vehicles",88,0.00134193390975494,"catholic",112,0.00176859791242282,"road",211,0.00178618290174301,"army",457,0.00174720237344252,"target",921,0.00154179417298897,"bus",310,0.00178419319934618
